"","year","district_code","caseid","congress","dname","rname","dmajor","dminor","dall","rmajor","rminor","rall","unfusedminorparties","linesqd","linesqr","linesnd","linesnr","linesu","presidential","incumbent","dincumbent","rincumbent","districtfixedeffect","uncontested","winner","democraticmarginofvictory","nyc","chamber","icpsr","state_icpsr","state_abbrev","party_code","occupancy","last_means","bioname","gender","race","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","win_percentage","competitive","age","dal","ral","dc","rc","dg","rg","di","ri","dl","rl","dlt","rlt","drtl","rrtl","dsam","rsam","dr","rr","dtc","rtc","dwe","rwe","dwf","rwf","rd","_merge","fe","party","lib_dem_supp","cons_dem_supp","ind_dem_supp","lib_rep_supp","cons_rep_supp","ind_rep_supp","int_r_lib","int_d_lib","int_r_cons","int_d_cons","int_r_ind","int_d_ind","dm_nominate_dim1","dm_party","dm_ind_rep_supp","dm_cons_rep_supp","dm_lib_rep_supp","dm_ind_dem_supp","dm_cons_dem_supp","dm_lib_dem_supp","dm_gender","dm_race","dm_age","dm_competitive","dm_nyc","dm_int_d_ind","dm_int_r_ind","dm_int_d_cons","dm_int_r_cons","dm_int_d_lib","dm_int_r_lib","dm_dl","dm_rl","dm_dc","dm_rc","dm_di","dm_ri","dm_uncontested","dm_incumbent","int_comp1","int_comp2","int_comp3","int_comp4","int_comp5","int_comp6","int_comp10","int_comp20","int_comp30","int_comp40","int_comp50","int_comp60","int_uncont1","int_uncont2","int_uncont3","int_uncont4","int_uncont5","int_uncont6","int_uncont10","int_uncont20","int_uncont30","int_uncont40","int_uncont50","int_uncont60","int_incu1","int_incu2","int_incu3","int_incu4","int_incu5","int_incu6","int_incu10","int_incu20","int_incu30","int_incu40","int_incu50","int_incu60","dm_int_incu60","dm_int_incu50","dm_int_incu40","dm_int_incu30","dm_int_incu20","dm_int_incu10","dm_int_incu6","dm_int_incu5","dm_int_incu4","dm_int_incu3","dm_int_incu2","dm_int_incu1","dm_int_uncont60","dm_int_uncont50","dm_int_uncont40","dm_int_uncont30","dm_int_uncont20","dm_int_uncont10","dm_int_uncont6","dm_int_uncont5","dm_int_uncont4","dm_int_uncont3","dm_int_uncont2","dm_int_uncont1","dm_int_comp60","dm_int_comp50","dm_int_comp40","dm_int_comp30","dm_int_comp20","dm_int_comp10","dm_int_comp6","dm_int_comp5","dm_int_comp4","dm_int_comp3","dm_int_comp2","dm_int_comp1","dm_nokken_poole_dim1","d_prop_pres","dm_d_prop_pres","int10","int20","int30","int40","int50","int60","dm_dal","dm_ral","dm_dg","dm_rg","dm_dlt","dm_rlt","dm_drtl","dm_rrtl","dm_dsam","dm_rsam","dm_dtc","dm_rtc","dm_dwe","dm_rwe","dm_dr","dm_rr","dm_dwf","dm_rwf","mint1","mint2","mint3","mint4","mint5","mint6","mint7","mint8","mint9","mint10","mint11","mint12","mint13","mint14","mint15","mint16","mint17","mint18","dm_mint1","dm_mint2","dm_mint3","dm_mint4","dm_mint5","dm_mint6","dm_mint7","dm_mint8","dm_mint9","dm_mint10","dm_mint11","dm_mint12","dm_mint13","dm_mint14","dm_mint15","dm_mint16","dm_mint17","dm_mint18","liberal","con","wf","gre","ind","ref","libert","rtl","other1","othername1","other2","othername2","other3","othername3","other4","othername4","left_votes","centrist_votes","right_votes","left_prop","cent_prop","right_prop","lib_prop","cons_prop","rvote","dvote","tvote","state","r_prop_pres","dm_int_party_left","dm_int_party_cent","dm_int_party_right","dm_left_prop","dm_cent_prop","dm_right_prop","dm_strong_lib","dm_strong_con","dm_rc_strong","dm_dl_strong"
"1",1952,1,1,83,"GREENWOOD","WAINWRIGHT",70100,4074,74174,114135,0,114135,540,1,0,0,0,1,1,1,1,0,"z1",0,"R","-0.212209719",0,"House",9716,13,"NY",200,0,1,"WAINWRIGHT, Stuyvesant, II",0,0,"W000024",1921,2010,0.209000006318092,-0.669000029563904,-26.4968109130859,0.773000001907349,103,11,NA,0.196999996900558,-0.776000022888184,0.606104850769043,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0742000043392181,0.199999988079071,0,0,0,0,0,0,0,0,-4,-0.400000005960464,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200000002980232,0,0,0,0,0,0,-0.400000005960464,0.0479999929666519,0.392768825887349,-0.0612423419952393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4074,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,4074,0,0,0.0215727909599733,0,0,0.0215727909599733,0,114135,74174,188849,"NY",0.604371746739458,0,0,0,0.00650486629456282,0,0.102283477783203,-0.200000002980232,-0.200000002980232,0.800000011920929,-0.200000002980232
"2",1952,10,10,83,"KELLY","THOMAS",84483,20819,105302,42498,0,42498,0,1,0,0,0,0,1,1,1,0,"z10",0,"D","0.424925575",1,"House",5148,13,"NY",100,0,1,"KELLY, Edna Flannery",1,0,"K000070",1906,1997,-0.35699999332428,-0.0219999998807907,-25.4847602844238,0.774999976158142,100,10,NA,-0.605000019073486,-0.351999998092651,0.712462782859802,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166000008583069,0.712462787550744,-0.0441538691520691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20819,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,20819,0,0,0.140859269282815,0,0,0.140859269282815,0,42498,105302,147800,"NY",0.287537212449256,0,0,0,-0.022281963378191,0,0.0222542565315962,-0.200000002980232,-0.200000002980232,-0.200000002980232,-0.200000002980232
"3",1952,11,11,83,"CELLER","DORFMAN",96987,30104,127091,37244,0,37244,7853,1,0,0,0,2,1,1,1,0,"z11",0,"D","0.546730763",1,"House",1611,13,"NY",100,0,1,"CELLER, Emanuel",0,0,"C000264",1888,1981,-0.456999987363815,-0.237000003457069,-21.1096706390381,0.822000026702881,108,10,NA,-0.564000010490417,-0.0359999984502792,0.773365378379822,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546000003814697,0.738094408437289,0.00597083568572998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30104,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,30104,0,0,0.174832160196994,0,0,0.174832160196994,0,37244,127091,172188,"NY",0.216298464469069,0,0,0,0.0183184463530779,0,0.00754998810589314,0.800000011920929,0.800000011920929,-0.200000002980232,0.800000011920929
"4",1952,12,12,83,"O'TOOLE","DORN",56538,9112,65650,75895,0,75895,2531,1,0,0,0,1,1,1,1,0,"z12",0,"R","-0.072379809",1,"House",2671,13,"NY",200,0,1,"DORN, Francis Edwin",0,0,"D000433",1911,1987,0.0439999997615814,-0.746999979019165,-32.8636512756348,0.759999990463257,120,15,NA,0.0149999996647239,-0.602999985218048,0.536189913749695,1,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,205,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0790000036358833,0.199999988079071,0,0,0,0,0,0.199999988079071,0,0,-2.40000152587891,0,0,0,0,0,0,0.399999976158142,0,0.199999988079071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.399999976158142,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399999976158142,0,0,0,0,0,0,0.199999988079071,0.0713999941945076,0.455662289347289,0.0336304306983948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9112,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,9112,0,0,0.0632443987895278,0,0,0.0632443987895278,0,75895,65650,144076,"NY",0.526770593297982,0,0,0,-0.00234987121075392,0,-0.0660438612103462,-0.200000002980232,-0.200000002980232,-0.200000002980232,-0.200000002980232
"5",1952,13,13,83,"MULTER","LANDI",87691,24461,112152,45664,0,45664,6359,1,0,0,0,2,1,1,1,0,"z13",0,"D","0.421300755",1,"House",6792,13,"NY",100,0,1,"MULTER, Abraham Jacob",0,0,"M001074",1900,1986,-0.558000028133392,-0.0209999997168779,-21.356559753418,0.824000000953674,110,10,NA,-0.804000020027161,-0.222000002861023,0.710650384426117,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150799989700317,0.683124714481498,0.0657950639724731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24461,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,24461,0,0,0.14899345210903,0,0,0.14899345210903,0,45664,112152,164175,"NY",0.27814222628293,0,0,0,-0.000191479382920079,0,-0.0660438612103462,-0.200000002980232,-0.200000002980232,-0.200000002980232,-0.200000002980232
"6",1952,14,14,83,"ROONEY","LAFKOWITZ",73942,13010,86952,45004,0,45004,3430,1,0,0,0,1,1,1,1,0,"z14",0,"D","0.317893843",1,"House",8049,13,"NY",100,0,1,"ROONEY, John James",0,0,"R000424",1903,1975,-0.38400000333786,0.160999998450279,-43.4062118530273,0.689999997615814,117,19,NA,-0.526000022888184,-0.00499999988824129,0.658946931362152,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498000085353851,0.642252522417384,-0.0584238767623901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13010,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,13010,0,0,0.0960956081130988,0,0,0.0960956081130988,0,45004,86952,135386,"NY",0.332412509417517,0,0,0,-0.000715600035618991,0,0.0482441522181034,0,0,0.600000023841858,0
"7",1952,15,15,83,"MURPHY","RAY",64848,4690,69538,97023,0,97023,885,1,0,0,0,1,1,1,1,0,"z15",0,"R","-0.165014619",1,"House",7749,13,"NY",200,0,1,"RAY, John Henry",0,0,"R000077",1886,1975,0.444000005722046,-0.275000005960464,-31.1789398193359,0.771000027656555,120,20,NA,0.303000003099442,-0.50900000333786,0.582507312297821,1,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,208,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.199999988079071,0,0,-4,0.199999988079071,0,0,0,0,0,0.199999988079071,0,0.199999988079071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399999976158142,0,0,0,0,0,0,0.399999976158142,-0.151399999856949,0.415286122093093,0.0871932506561279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,4690,0,0,0.0280090297767639,0,0,0.0280090297767639,0,97023,69538,167446,"NY",0.579428591904256,0,0,0,-0.0203363206237555,0,-0.0356978625059128,0,0,-0.400000005960464,0
"8",1952,16,16,83,"POWELL","BALTIMORE",72562,0,72562,15937,0,15937,9672,0,0,0,0,2,1,1,1,0,"z16",0,"D","0.639837738",1,"House",7568,13,"NY",100,0,1,"POWELL, Adam Clayton, Jr.",0,1,"P000477",1908,1972,-0.833000004291534,-0.544000029563904,-14.7627296447754,0.794000029563904,64,5,NA,-0.832000017166138,-0.555000007152557,0.819918870925903,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200000002980232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107800006866455,0.739138849558424,-0.0828345417976379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,0,0,0,0,0,0,0,0,15937,72562,98171,"NY",0.162339183669312,0,0,0,0.00503954663872719,0,0.0588494427502155,0,0,0.600000023841858,0
"9",1952,17,17,83,"GROSSMAN","COUDERT",48671,11953,60624,84821,0,84821,3327,1,0,0,0,1,1,1,0,1,"z17",0,"R","-0.166365293",1,"House",2089,13,"NY",200,0,1,"COUDERT, Frederic René, Jr.",0,0,"C000804",1898,1972,0.224999994039536,-0.703999996185303,-48.4579086303711,0.621999979019165,102,17,NA,0.194999992847443,-0.349999994039536,0.583182632923126,1,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,210,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0967999994754791,0,0,0,0,0,0,0,0,0,5.20000076293945,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199999988079071,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199999988079071,0,0,0,0,0,0,0.199999988079071,0.0313999950885773,0.407496034199984,0.0215170383453369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11953,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,11953,0,0,0.0803444196488587,0,0,0.0803444196488587,0,84821,60624,148772,"NY",0.570140886725997,0,0,0,0.00296369520947337,0,-0.0356978625059128,0,0,-0.400000005960464,0
"10",1952,18,18,83,"DONOVAN","",45711,42918,88629,0,0,0,7047,2,0,0,0,1,1,1,1,0,"z18",1,"D","NA",1,"House",2662,13,"NY",100,0,1,"DONOVAN, James George",0,0,"D000421",1898,1987,-0.101999998092651,-0.114000000059605,-67.0388412475586,0.51800000667572,102,30,NA,-0.128000006079674,0.207000002264977,1,0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,211,0,1,0,0,0,0,0,0,0,0,0,0,0,0.279600024223328,0,0,0,0,0,0,0.600000023841858,0,0,4.40000152587891,-0.200000002980232,0,0,0,0,0,0,0,0.600000023841858,0,0,0,0,0,0.600000023841858,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600000023841858,0,0,0,0,0,0,0,0,0,0,0,0.800000011920929,0,0,0,0,0,0,0,0,0,0,0,-0.200000002980232,0.265599966049194,0.926345164931644,0.0325480699539185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5688,0,0,0,0,0,0,0,0,"",0,"",0,"",0,0,5688,0,0,0.0594506459300138,0,0,0.0594506459300138,0,0,88629,95676,"NY",0,0,0,0,0.0130486693233252,0,-0.0356978625059128,0,0,-0.400000005960464,0
