caseid,congress,year,dname,rname,dmajor,dminor,dall,rmajor,rminor,rall,unfusedminorparties,linesqd,linesqr,linesnd,linesnr,linesu,presidential,incumbent,dincumbent,rincumbent,districtfixedeffect,uncontested,winner,democraticmarginofvictory,nyc,chamber,icpsr,state_icpsr,state_abbrev,party_code,occupancy,last_means,district_code,bioname,gender,race,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,win_percentage,competitive,age,dal,ral,dc,rc,dg,rg,di,ri,dl,rl,dlt,rlt,drtl,rrtl,dsam,rsam,dr,rr,dtc,rtc,dwe,rwe,dwf,rwf,rd,_merge,fe,party,lib_dem_supp,cons_dem_supp,ind_dem_supp,lib_rep_supp,cons_rep_supp,ind_rep_supp,int_r_lib,int_d_lib,int_r_cons,int_d_cons,int_r_ind,int_d_ind,dm_nominate_dim1,dm_party,dm_ind_rep_supp,dm_cons_rep_supp,dm_lib_rep_supp,dm_ind_dem_supp,dm_cons_dem_supp,dm_lib_dem_supp,dm_gender,dm_race,dm_age,dm_competitive,dm_nyc,dm_int_d_ind,dm_int_r_ind,dm_int_d_cons,dm_int_r_cons,dm_int_d_lib,dm_int_r_lib,dm_dl,dm_rl,dm_dc,dm_rc,dm_di,dm_ri,dm_uncontested,dm_incumbent,int_comp1,int_comp2,int_comp3,int_comp4,int_comp5,int_comp6,int_comp10,int_comp20,int_comp30,int_comp40,int_comp50,int_comp60,int_uncont1,int_uncont2,int_uncont3,int_uncont4,int_uncont5,int_uncont6,int_uncont10,int_uncont20,int_uncont30,int_uncont40,int_uncont50,int_uncont60,int_incu1,int_incu2,int_incu3,int_incu4,int_incu5,int_incu6,int_incu10,int_incu20,int_incu30,int_incu40,int_incu50,int_incu60,dm_int_incu60,dm_int_incu50,dm_int_incu40,dm_int_incu30,dm_int_incu20,dm_int_incu10,dm_int_incu6,dm_int_incu5,dm_int_incu4,dm_int_incu3,dm_int_incu2,dm_int_incu1,dm_int_uncont60,dm_int_uncont50,dm_int_uncont40,dm_int_uncont30,dm_int_uncont20,dm_int_uncont10,dm_int_uncont6,dm_int_uncont5,dm_int_uncont4,dm_int_uncont3,dm_int_uncont2,dm_int_uncont1,dm_int_comp60,dm_int_comp50,dm_int_comp40,dm_int_comp30,dm_int_comp20,dm_int_comp10,dm_int_comp6,dm_int_comp5,dm_int_comp4,dm_int_comp3,dm_int_comp2,dm_int_comp1,dm_nokken_poole_dim1,d_prop_pres,dm_d_prop_pres,int10,int20,int30,int40,int50,int60,dm_dal,dm_ral,dm_dg,dm_rg,dm_dlt,dm_rlt,dm_drtl,dm_rrtl,dm_dsam,dm_rsam,dm_dtc,dm_rtc,dm_dwe,dm_rwe,dm_dr,dm_rr,dm_dwf,dm_rwf,mint1,mint2,mint3,mint4,mint5,mint6,mint7,mint8,mint9,mint10,mint11,mint12,mint13,mint14,mint15,mint16,mint17,mint18,dm_mint1,dm_mint2,dm_mint3,dm_mint4,dm_mint5,dm_mint6,dm_mint7,dm_mint8,dm_mint9,dm_mint10,dm_mint11,dm_mint12,dm_mint13,dm_mint14,dm_mint15,dm_mint16,dm_mint17,dm_mint18
216,88,1962,PIKE,ORMSBY,81021,4598,85619,53133,0,53133,0,1,0,0,0,0,0,1,1,0,a1,0,D,0.234129958,0,House,10545,13,NY,100,0,1,1,"PIKE, Otis Grey",0,0,P000348,1921,2014,-.162,-.125,-66.543678,.713,197,32,,-.156,-.222,.61706495,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,0,.19999999,0,0,-4,-.2,0,0,0,0,0,0,0,.19999999,0,0,-.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,.19999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,-.2,-.0056000054,.52219218,-.061242342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,89,1964,PIKE,HART,119650,6879,126529,68362,0,68362,0,1,0,0,0,0,1,1,1,0,a1,0,D,0.298459139,0,House,10545,13,NY,100,0,1,1,"PIKE, Otis Grey",0,0,P000348,1921,2014,-.162,-.125,-119.0455,.67400002,302,54,,-.12,-.039000001,.64922959,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,0,.19999999,0,0,-2,-.2,0,0,0,0,0,0,0,.19999999,0,0,-.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,.19999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,-.2,.030400001,.53928065,-.044153869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,92,1970,PIKE,SMITH,100001,8745,108746,64449,35054,99503,0,1,1,0,0,0,0,1,1,0,a1,0,D,0.044384367,0,House,10545,13,NY,100,0,1,1,"PIKE, Otis Grey",0,0,P000348,1921,2014,-.162,-.125,-296.29401,.56300002,516,143,,-.167,-.015,.52219218,1,49,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.80000001,0,0,0,.19999999,0,0,4,.80000001,0,0,0,0,0,0,0,.19999999,0,0,.80000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.80000001,0,0,.19999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.80000001,0,0,.80000001,-.016599998,.58940536,.0059708357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,90,1966,PIKE,CATTERSON,92655,9308,101963,58296,0,58296,12731,0,0,0,0,1,0,1,1,0,a1,0,D,0.272477677,0,House,10545,13,NY,100,0,1,1,"PIKE, Otis Grey",0,0,P000348,1921,2014,-.162,-.125,-169.13487,.63700002,375,71,,-.147,-.185,.63623881,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,0,.19999999,0,0,0,-.2,0,0,0,0,0,0,0,.19999999,0,0,-.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,.19999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,-.2,.0033999979,.61706495,.033630431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,91,1968,PIKE,CATTERSON,118913,0,118913,79208,0,79208,22382,0,0,0,0,2,1,1,1,0,a1,0,D,0.200407832,0,House,10545,13,NY,100,0,1,1,"PIKE, Otis Grey",0,0,P000348,1921,2014,-.162,-.125,-158.33652,.62699997,339,64,,-.162,-.336,.60020393,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,0,-.80000001,0,0,2,-.2,0,0,0,0,0,0,0,-.80000001,0,0,-.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,-.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.2,0,0,-.2,-.011600003,.64922959,.065795064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,90,1966,CELLER,ROSENBERG,66161,10278,76439,16702,0,16702,0,1,0,0,0,0,0,1,1,0,a10,0,D,0.641360947,1,House,1611,13,NY,100,0,1,10,"CELLER, Emanuel",0,0,C000264,1888,1981,-.45699999,-.237,-34.758862,.88099998,274,17,,-.486,.039000001,.8206805,0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.022000015,.72970855,-.058423877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,92,1970,CELLER,OCCHIOGROSSO,67957,10367,78324,20002,9010,29012,0,1,1,0,0,0,0,1,1,0,a10,0,D,0.459417157,1,House,1611,13,NY,100,0,1,10,"CELLER, Emanuel",0,0,C000264,1888,1981,-.45699999,-.237,-103.66173,.764,386,48,,-.368,-.29499999,.72970855,0,82,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095999986,.87532568,.087193251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,89,1964,CELLER,HELD,108483,10458,118941,16941,0,16941,0,1,0,0,0,0,1,1,1,0,a10,0,D,0.7506513,1,House,1611,13,NY,100,0,1,10,"CELLER, Emanuel",0,0,C000264,1888,1981,-.45699999,-.237,-31.49584,.86799997,223,13,,-.50199997,.011,.87532568,0,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.037999988,.70529789,-.082834542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,88,1962,CELLER,BESUNDER,79044,11172,90216,21210,0,21210,0,1,0,0,0,0,0,1,1,0,a10,0,D,0.619298907,1,House,1611,13,NY,100,0,1,10,"CELLER, Emanuel",0,0,C000264,1888,1981,-.45699999,-.237,-16.11812,.90399998,160,6,,-.54400003,-.212,.80964947,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.080000043,.80964947,.021517038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,91,1968,CELLER,MARTANO,91151,15471,106622,14298,30253,44551,0,1,1,0,0,0,1,1,1,0,a10,0,D,0.410595807,1,House,1611,13,NY,100,0,1,10,"CELLER, Emanuel",0,0,C000264,1888,1981,-.45699999,-.237,-84.943001,.71799999,256,32,,-.41999999,-.103,.70529789,0,80,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),a10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.044,.8206805,.03254807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
